string_protein_id	preferred_name	protein_size	annotation
6183.Smp_000020.1	Smp_000020	1092	Hyaluronidase, putative 
6183.Smp_000030.1	Smp_000030.1	995	26s proteasome regulatory particle subunit,putative 
6183.Smp_000040.1	Smp_000040	413	Kinesin light chain, putative 
6183.Smp_000050.1	Smp_000050	1376	Transient receptor potential cation channel,putative 
6183.Smp_000070.1	slc1	263	1-acyl-sn-glycerol-3-phosphate o-acyltransferase ; Belongs to the 1-acyl-sn-glycerol-3-phosphate acyltransferase family
6183.Smp_000075.1	Smp_000075	328	Transcription factor, putative 
6183.Smp_000080.1	Smp_000080	111	SNARE complex protein, putative 
6183.Smp_000090.1	Smp_000090	202	Uncharacterized protein
6183.Smp_000100.1	Smp_187910	2336	Filamin 
6183.Smp_000110.1	Smp_000110	1280	Similar to elongation factor Tu GTP binding domain containing 1 isoform 6-related 
6183.Smp_000120.1	Smp_000120	102	Retrotransposon protein 
6183.Smp_000130.1	Smp_000130.1	822	Hormone-sensitive lipase (S09 family) 
6183.Smp_000140.1	Smp_000140.1	348	Uncharacterized protein
6183.Smp_000150.1	Smp_000150	730	PHD zinc finger protein XAP135-related 
6183.Smp_000160.1	Smp_000160	796	Variable lymphocyte receptor, putative 
6183.Smp_000170.1	Smp_000170	185	Neurocalcin, putative 
6183.Smp_000180.1	Smp_000180	102	Similar to potassium channel-interacting protein 4 isoform 4-related 
6183.Smp_000190.1	Smp_000190	338	Oxidoreductase, short chain dehydrogenase/reductase family, putative ; Belongs to the short-chain dehydrogenases/reductases (SDR) family
6183.Smp_000200.1	Smp_000200	396	Uncharacterized protein
6183.Smp_000210.1	Smp_000210	60	Uncharacterized protein
6183.Smp_000220.1	Smp_000220	312	Uncharacterized protein
6183.Smp_000230.1	Smp_000230	1187	Uncharacterized protein
6183.Smp_000240.1	Smp_181930	548	RNA binding protein, putative 
6183.Smp_000250.1	Smp_000250	55	Uncharacterized protein
6183.Smp_000260.1	Smp_000260	927	Saposin containing protein 
6183.Smp_000270.1	Smp_000270	224	Trematode Eggshell Synthesis domain containing protein 
6183.Smp_000280.1	Smp_000280	222	Trematode Eggshell Synthesis domain containing protein 
6183.Smp_000290.1	Smp_000290.1	238	Female-specific protein 800 (Fs800) 
6183.Smp_000300.1	Smp_000300	1492	Similar to WD repeat domain 19-related 
6183.Smp_000310.1	D2013.10	248	D2013.10 
6183.Smp_000320.1	Smp_000320	219	Ndr family, putative 
6183.Smp_000330.1	Smp_000330	26	Uncharacterized protein
6183.Smp_000340.1	Smp_191420	1087	Ecdysone-induced protein E78; Nuclear hormone receptor superfamily protein-related 
6183.Smp_000350.2	Smp_113850	680	Uncharacterized protein
6183.Smp_000370.1	Smp_000370	97	Uncharacterized protein
6183.Smp_000380.1	Smp_000380	112	Uncharacterized protein
6183.Smp_000390.1	Smp_000390	219	Trematode Eggshell Synthesis domain containing protein 
6183.Smp_000400.1	Smp_000400	59	Uncharacterized protein
6183.Smp_000410.1	Smp_000410	190	Uncharacterized protein
6183.Smp_000420.1	Smp_000420	302	Pro-His-rich protein 
6183.Smp_000430.1	Smp_000430.1	265	Eggshell protein, chorion, putative 
6183.Smp_000440.1	Smp_000440	421	Uncharacterized protein
6183.Smp_000460.1	Smp_000460	800	Uncharacterized protein
6183.Smp_000470.1	Smp_000470	294	ATP-dependent (S)-NAD(P)H-hydrate dehydratase; Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ATP, which is converted to ADP. Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S- and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration
6183.Smp_000480.1	eif3s8	869	Eukaryotic translation initiation factor 3 subunit C; Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation
6183.Smp_000500.2	Smp_185920	120	Uncharacterized protein
6183.Smp_000510.1	GMPPB	413	Gdp-mannose pyrophosphorylase b, isoform 2 
6183.Smp_000520.1	Smp_000520	200	Uncharacterized protein
6183.Smp_000530.1	gli2a	2492	Zinc finger transcription factor gli2 
6183.Smp_000540.1	Smp_000540	61	Uncharacterized protein
6183.Smp_000550.1	Smp_000550	61	Uncharacterized protein
6183.Smp_000560.1	Smp_000560	73	Uncharacterized protein
6183.Smp_000580.1	Smp_000580	437	Uncharacterized protein
6183.Smp_000590.1	Smp_000590.1	216	Uncharacterized protein
6183.Smp_000600.1	Nle1	564	Notchless homolog 1 
6183.Smp_000610.1	Smp_000610	55	Uncharacterized protein
6183.Smp_000620.1	Smp_000620	243	Uncharacterized protein
6183.Smp_000630.1	Smp_000630	204	Isochorismatase family protein, putative 
6183.Smp_000640.1	Smp_000640	245	Adapter molecule crk, putative 
6183.Smp_000650.1	Smp_000650	371	E3 ubiquitin-protein ligase sina; E3 ubiquitin-protein ligase that mediates ubiquitination and subsequent proteasomal degradation of target proteins. E3 ubiquitin ligases accept ubiquitin from an E2 ubiquitin- conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates. Mediates the ubiquitin-mediated degradation of nuclear receptors for retinoids SmRXR1 and SmRXR2
6183.Smp_000660.1	Smp_000660	430	Ornithine--oxo-acid transaminase ; Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family
6183.Smp_000670.1	Smp_000670	1096	CENTB5 protein 
6183.Smp_000680.1	ORNT2	312	Ornithine transporter 2 (Solute carrier family 25 member 2) ; Belongs to the mitochondrial carrier (TC 2.A.29) family
6183.Smp_000690.1	Smp_000690	380	POU domain protein; Pou4/brn-3, putative 
6183.Smp_000700.1	Smp_000700	782	Uncharacterized protein
6183.Smp_000710.1	Smp_000710	414	Ubiquitin-specific peptidase 46 (C19 family); Ubiquitin carboxyl-terminal hydrolase ; Belongs to the peptidase C19 family
6183.Smp_000720.1	HIPK2	1259	Serine/threonine kinase 
6183.Smp_000730.1	Smp_000730	176	ADP-ribosylation factor family ; Belongs to the small GTPase superfamily. Arf family
6183.Smp_000740.2	Smp_000740.2	420	26S proteasome non-ATPase regulatory subunit 4; Binds and presumably selects ubiquitin-conjugates for destruction
6183.Smp_000755.1	Smp_181710	796	Family M13 non-peptidase homologue (M13 family) 
6183.Smp_000770.1	Smp_000770	71	Uncharacterized protein
6183.Smp_000780.1	Smp_000780	665	Uncharacterized protein
6183.Smp_000790.1	Smp_000790	287	Actin binding LIM protein family member 2-related 
6183.Smp_000810.2	Smp_000810.2	312	Tatd DNAse-related 
6183.Smp_000820.1	Smp_000820.1	125	Uncharacterized protein
6183.Smp_000830.1	Smp_000840	901	Homeobox protein SMOX-3 
6183.Smp_000850.1	Smp_000850	356	Putative DNAj domain 
6183.Smp_000870.1	Smp_000860	816	Uncharacterized protein
6183.Smp_000880.2	Smp_000880.2	135	ATP synthase lipid-binding protein-like protein ; Belongs to the ATPase C chain family
6183.Smp_000890.1	Smp_000890	260	Mitotic phosphoprotein 44 
6183.Smp_000900.1	Smp_000900	267	Belongs to the G-protein coupled receptor 1 family. 
6183.Smp_000910.1	Smp_000910	620	Similar to cancer susceptibility candidate 1 
6183.Smp_000950.1	mab21l1	563	Mab-21-like 
6183.Smp_000970.1	Smp_000970	87	Uncharacterized protein
6183.Smp_000980.1	Dsp1	226	High mobility group protein; Putative high mobility group B2 protein 
6183.Smp_000990.1	EXOC1	780	Exocyst complex component 1 
6183.Smp_001000.1	Smp_001000	174	Uncharacterized protein
6183.Smp_001020.1	Smp_001020	349	A/g-specific adenine DNA glycosylase (Ec 3.2.2.-) (Muty homolog)(Mmyh)-related 
6183.Smp_001030.1	PRKAG2	281	5'-amp-activated protein kinase gamma-2 non-catalytic subunit transcript variant 2 
6183.Smp_001040.1	Smp_192380	1016	Kinesin heavy chain ; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
6183.Smp_001050.1	Smp_001050	620	Putative similar to Protein C20orf152 homolog 
6183.Smp_001070.1	Smp_001070.1	197	Putative g-protein coupled receptor
6183.Smp_001080.1	Smp_001080	125	Uncharacterized protein
6183.Smp_001085.1	Smp_001085	323	Gag-pol protein 
6183.Smp_001090.1	Smp_001090	966	Functions as a component of the nuclear pore complex (NPC). 
6183.Smp_001095.1	Smp_001095	613	Uncharacterized protein
6183.Smp_001100.1	Smp_001100	692	Uncharacterized protein
6183.Smp_001120.1	Smp_001120	190	Uncharacterized protein
6183.Smp_001150.1	Smp_001150	288	Uncharacterized protein
6183.Smp_001160.1	Smp_001160	697	Uncharacterized protein
6183.Smp_001170.1	eif3s10	1047	Eukaryotic translation initiation factor 3 subunit A; RNA-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation
6183.Smp_001180.1	Smp_001180	2031	Uncharacterized protein
